12,5666
12,5792
12,6633
12,8721
12,8724
12,9623
12,11231
12,11562
12,11568
12,11732
12,12179
12,12294
12,12385
12,13556
12,14496
12,23324
12,23930
12,27356
12,33052
13,242
13,426
13,428
13,429
13,932
13,5609
13,5666
13,6879
13,7033
13,7098
13,7103
13,7284
13,7566
13,7939
13,8028
13,8429
13,8675
13,8721
13,8827
13,9589
13,9648
13,9861
13,10094
13,10163
13,10491
13,10595
13,11560
13,11561
13,11562
13,11563
13,12152
13,12170
13,12294
13,12385
13,12505
13,12506
13,12507
13,12509
13,12511
13,12512
13,12518
13,13583
13,14029
13,15249
13,16315
13,17085
13,18459
13,18478
13,20663
13,22465
13,23324
13,32417
13,33128
13,42485
13,42487
14,427
14,736
14,802
14,5072
14,5172
14,6448
14,6906
14,7566
14,7861
14,8710
14,8724
14,9591
14,10094
14,10202
14,10435
14,11457
14,11553
14,11570
14,12118
14,12152
14,12519
14,12763
14,18478
14,37638
14,42485
15,735
15,5081
15,7489
15,7566
15,10085
15,16642
15,18474
15,20763
15,22465
15,33052
15,35793
16,242
16,734
16,933
16,5273
16,6025
16,6448
16,7928
16,7939
16,8452
16,9535
16,10203
16,11568
16,11575
16,12740
16,12903
16,13103
16,14497
16,16657
16,18453
16,18475
16,18494
16,32417
16,33051
17,429
17,5172
17,5251
17,6886
17,7017
17,7104
17,7381
17,7731
17,7928
17,8029
17,8669
17,8673
17,8724
17,9625
17,11231
17,11491
17,11566
17,11568
17,12152
17,12514
17,12519
17,12520
17,13462
17,16674
17,17085
17,18457
17,18508
17,20662
17,21675
17,23930
17,35793
17,37638
18,428
18,7119
18,7731
18,8710
18,8720
18,10435
18,12170
18,12179
18,12181
18,12184
18,12294
18,12516
18,12741
18,12902
18,13583
18,14496
18,16315
18,16642
18,18499
18,24527
18,33051
18,33052
18,42485
19,914
19,4787
19,5769
19,10094
19,11457
19,18453
